Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Irish,EEA/UK,Non-EEA,Month,Year
Dublin,4164,2641,1523,450,2434,1198,82,2336,1856,39,0,893,1309,477,2065,,,,May,2020
Mid-East,318,207,111,42,170,98,8,201,113,4,0,63,92,34,138,,,,May,2020
Midlands,92,57,35,14,54,21,3,65,11,16,0,17,24,10,43,,,,May,2020
Mid-West,300,195,105,40,161,91,8,98,170,32,0,55,69,41,89,,,,May,2020
North-East,119,75,44,17,65,25,12,32,51,36,0,17,21,13,24,,,,May,2020
North-West,70,53,17,11,39,19,1,28,32,10,0,5,7,3,12,,,,May,2020
South-East,201,146,55,34,106,55,6,51,150,0,0,11,14,8,14,,,,May,2020
South-West,511,320,191,55,307,131,18,337,175,0,0,84,121,47,213,,,,May,2020
West,314,174,140,46,171,87,10,169,143,0,2,72,107,37,189,,,,May,2020
Dublin,4173,2640,1533,481,2439,1197,56,2299,1889,39,0,871,1276,466,1979,,,,June,2020
Mid-East,309,197,112,41,166,94,8,210,105,4,0,61,86,36,146,,,,June,2020
Midlands,97,56,41,15,61,20,1,71,10,16,0,17,24,10,42,,,,June,2020
Mid-West,291,193,98,38,161,84,8,90,169,32,0,46,59,33,78,,,,June,2020
North-East,119,76,43,18,65,24,12,32,52,35,0,16,21,11,34,,,,June,2020
North-West,69,53,16,12,38,18,1,28,30,10,1,5,7,3,12,,,,June,2020
South-East,189,141,48,27,102,54,6,49,140,0,0,10,12,8,13,,,,June,2020
South-West,502,334,168,52,312,120,18,312,191,0,0,68,100,36,179,,,,June,2020
West,297,165,132,47,159,79,12,158,139,0,0,65,97,33,170,,,,June,2020
Dublin,4188,2668,1520,480,2436,1200,72,2315,1888,38,0,862,1269,455,2017,,,,July,2020
Mid-East,316,206,110,45,168,92,11,195,117,4,0,55,78,32,134,,,,July,2020
Midlands,95,58,37,18,57,19,1,68,10,17,0,19,25,13,44,,,,July,2020
Mid-West,289,202,87,36,163,83,7,82,173,34,0,45,60,30,70,,,,July,2020
North-East,129,85,44,20,78,21,10,53,64,12,0,21,29,13,31,,,,July,2020
North-West,73,53,20,14,40,18,1,27,31,11,4,3,4,2,9,,,,July,2020
South-East,187,138,49,30,100,51,6,48,139,0,0,9,11,7,12,,,,July,2020
South-West,514,345,169,59,301,135,19,326,192,0,0,66,95,37,170,,,,July,2020
West,286,160,126,51,145,78,12,155,131,0,0,62,93,31,164,,,,July,2020
Dublin,4204,2695,1509,481,2432,1221,70,2334,1879,34,0,856,1242,470,2023,,,,August,2020
Mid-East,303,193,110,45,165,82,11,194,105,4,0,51,73,29,132,,,,August,2020
Midlands,92,56,36,20,52,19,1,66,10,16,0,19,24,14,45,,,,August,2020
Mid-West,291,199,92,34,173,76,8,83,171,37,0,41,56,26,62,,,,August,2020
North-East,126,85,41,19,74,21,12,40,50,36,0,14,18,10,25,,,,August,2020
North-West,67,45,22,14,35,17,1,29,28,8,2,5,6,4,11,,,,August,2020
South-East,188,140,48,32,98,51,7,47,141,0,0,13,16,10,20,,,,August,2020
South-West,529,350,179,69,299,138,23,335,197,0,0,62,93,31,157,,,,August,2020
West,282,165,117,49,139,84,10,142,140,0,0,59,91,27,145,,,,August,2020
Dublin,4251,2713,1538,504,2460,1218,69,2395,1865,35,0,865,1257,473,2008,,,,September,2020
Mid-East,295,184,111,48,154,82,11,195,97,4,0,58,80,36,139,,,,September,2020
Midlands,81,48,33,18,45,17,1,52,11,18,0,16,19,13,37,,,,September,2020
Mid-West,291,190,101,33,178,75,5,82,175,34,0,46,62,30,67,,,,September,2020
North-East,102,77,25,13,61,19,9,28,51,23,0,5,6,4,9,,,,September,2020
